id,a1_r12,a1_r13,a1_r14,a1_r15,a1_r16
1,46,61,18,49,17
2,38,55,86,94,32
3,69,78,49,100,49
4,21,94,54,31,1
5,60,71,6,2,76
6,15,80,29,100,7
7,56,2,64,5,89
8,18,10,58,73,78
9,28,80,74,35,1
10,12,24,13,21,56
11,73,92,82,12,89
12,77,1,30,35,61
13,11,62,69,81,13
14,34,36,46,20,88
15,68,39,63,57,77
16,99,63,13,55,12
17,86,8,24,17,25
18,42,62,48,13,22
19,98,18,98,48,78
20,44,17,67,36,48
21,89,60,51,14,13
22,91,5,80,2,14
23,3,89,96,69,88
24,98,13,4,93,92
25,6,44,85,65,90
26,24,74,12,80,76
27,7,27,39,4,18
28,82,25,37,53,53
29,50,12,1,35,39
30,88,62,101,91,13
31,47,47,18,96,6
32,20,88,5,31,47
33,27,17,7,76,75
34,88,41,57,87,50
35,86,33,83,88,93
36,46,5,8,5,32
37,86,91,42,11,99
38,27,53,77,41,57
39,98,34,93,99,41
40,43,72,74,8,44
41,13,41,60,53,96
42,57,47,29,76,38
43,56,61,26,98,64
44,32,46,64,4,34
45,43,86,96,100,92
46,94,83,73,68,97
47,18,70,45,35,38
48,6,51,24,79,3
49,93,94,10,10,49
50,95,27,38,31,35
51,79,38,101,1,3
52,70,65,94,50,45
53,14,32,25,73,10
54,58,36,6,62,59
55,14,83,36,31,81
56,13,47,58,85,24
57,83,42,32,67,72
58,85,95,51,4,48
59,91,56,52,51,16
60,39,100,51,66,13
61,15,27,54,57,81
62,82,28,68,33,59
63,80,88,67,99,80
64,74,13,28,49,16
65,9,12,53,25,75
66,31,52,73,21,16
67,52,42,87,20,1
68,60,100,76,65,63
69,2,59,97,72,95
70,63,39,34,21,60
71,31,80,98,20,42
72,43,0,71,52,2
73,69,21,82,92,33
74,8,41,25,79,34
75,92,70,36,91,1
76,51,7,32,43,50
77,21,13,28,66,94
78,47,70,24,4,18
79,98,88,26,28,69
80,52,72,37,40,45
81,27,63,18,2,75
82,63,54,11,96,57
83,16,32,73,43,70
84,92,76,89,51,87
85,2,33,92,20,59
86,14,14,0,96,83
87,14,29,73,86,15
88,39,3,6,45,15
89,63,7,35,16,11
90,67,100,66,24,46
91,60,96,47,25,17
92,73,100,17,94,24
93,87,60,46,37,51
94,27,66,73,79,33
95,47,68,60,18,5
96,28,58,90,73,67
97,17,44,64,84,67
98,5,27,34,97,86
99,12,85,88,23,40
100,89,12,78,33,16
101,61,18,18,10,76
102,89,34,50,46,27
103,16,88,79,86,73
104,23,17,30,74,74
105,77,17,15,1,84
106,37,22,73,59,39
107,84,71,24,74,19
108,12,85,40,54,24
109,59,43,76,94,18
110,100,96,55,9,52
111,88,64,38,59,24
112,30,3,87,59,93
113,47,65,45,28,28
114,66,9,43,39,92
115,10,18,79,99,4
116,65,6,54,46,56
117,87,40,80,71,46
118,41,35,15,3,83
119,41,77,67,10,63
120,3,43,41,9,83
121,37,63,69,49,46
122,98,97,45,95,85
123,96,29,2,6,63
124,15,16,90,42,65
125,41,39,90,43,13
126,18,38,70,62,97
127,88,56,29,27,60
128,92,48,11,89,10
129,41,80,56,55,66
130,31,36,52,36,71
131,57,4,81,56,86
132,56,0,58,98,67
133,84,17,82,68,10
134,67,38,81,25,83
135,16,22,100,75,63
136,25,19,93,14,95
137,71,20,43,60,95
138,68,30,11,91,20
139,20,41,90,56,64
140,78,98,52,25,66
141,70,91,79,75,92
142,69,55,21,52,59
143,35,37,70,68,27
144,29,3,34,96,71
145,92,26,10,40,44
146,6,101,57,46,65
147,21,95,57,29,6
148,77,93,35,55,8
149,73,23,98,80,54
150,76,32,56,81,31
151,57,95,86,43,24
152,71,13,25,97,90
153,62,46,72,65,46
154,25,96,82,73,21
155,66,17,67,76,32
156,64,51,44,36,26
157,12,93,46,2,92
158,86,24,66,84,44
159,14,68,61,84,62
160,20,78,38,78,98
161,31,76,18,5,54
162,15,6,22,77,64
163,66,50,44,40,33
164,52,7,76,79,93
165,85,20,57,6,86
166,41,47,68,52,93
167,28,21,91,87,35
168,18,75,32,18,65
169,17,33,49,76,26
170,23,5,63,18,32
171,87,13,73,18,99
172,74,10,4,9,92
173,17,41,7,71,34
174,32,63,53,92,53
175,47,44,48,52,68
176,10,52,8,19,8
177,29,88,43,19,93
178,34,93,15,68,96
179,64,70,16,64,82
180,12,77,45,26,81
181,76,94,7,44,99
182,86,20,32,81,85
183,24,39,39,21,59
184,52,49,52,76,96
185,95,16,59,45,11
186,15,55,20,95,45
187,100,79,80,13,44
188,57,82,1,2,87
189,91,66,83,71,69
190,46,27,59,52,65
191,38,41,55,11,69
192,67,48,17,52,33
193,0,65,41,36,6
194,13,73,74,88,69
195,82,20,64,38,72
196,40,49,27,37,53
197,24,66,48,66,58
198,97,54,16,97,72
199,0,80,23,70,44
200,18,93,99,75,70
201,88,50,25,80,29
202,6,72,51,66,62
203,26,32,66,63,68
204,1,39,64,68,88
205,33,47,24,11,73
206,65,7,84,97,31
207,94,7,8,11,57
208,50,54,69,64,100
209,14,39,68,28,83
210,3,28,71,82,58
211,85,69,78,99,50
212,57,94,13,11,1
213,19,68,59,26,15
214,58,28,54,59,2
215,32,91,49,58,42
216,28,65,15,76,99
217,60,12,24,36,56
218,58,74,67,20,53
219,19,69,70,33,95
220,91,26,14,17,19
221,22,83,22,39,11
222,14,17,41,78,19
223,65,51,94,53,29
224,49,6,77,50,60
225,64,65,80,94,52
226,49,91,96,98,82
227,22,58,48,49,47
